"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage,,,,,,,,
"[17, 257, 4369, 4096, 11657, 6355, 2233]",4369,4096,11657,1.79,,,,,,,,
"[17, 257, 4369, 4096, 11689, 4820, 1689]",4369,4096,11689,1.79,,,,,,,,
"[17, 257, 4369, 4096, 11801, 10444, 3625]",4369,4096,11801,1.79,,,,,,,,
"[17, 257, 4369, 4096, 11833, 26, 9]",4369,4096,11833,1.79,,,,,,,,
"[17, 257, 4369, 4096, 11897, 8763, 3017]",4369,4096,11897,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12041, 11456, 3897]",4369,4096,12041,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12073, 9883, 3353]",4369,4096,12073,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12281, 1754, 585]",4369,4096,12281,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12329, 9322, 3097]",4369,4096,12329,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12377, 6119, 2025]",4369,4096,12377,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12409, 7589, 2505]",4369,4096,12409,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12457, 2801, 921]",4369,4096,12457,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12473, 4315, 1417]",4369,4096,12473,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12553, 10374, 3385]",4369,4096,12553,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12569, 8767, 2857]",4369,4096,12569,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12601, 10266, 3337]",4369,4096,12601,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12697, 2111, 681]",4369,4096,12697,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12713, 2064, 665]",4369,4096,12713,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12809, 9785, 3129]",4369,4096,12809,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12841, 8104, 2585]",4369,4096,12841,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12889, 4761, 1513]",4369,4096,12889,1.79,,,,,,,,
"[17, 257, 4369, 4096, 12953, 1344, 425]",4369,4096,12953,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13001, 6072, 1913]",4369,4096,13001,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13033, 4356, 1369]",4369,4096,13033,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13049, 12466, 3913]",4369,4096,13049,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13177, 5588, 1737]",4369,4096,13177,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13241, 2098, 649]",4369,4096,13241,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13337, 6802, 2089]",4369,4096,13337,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13417, 9935, 3033]",4369,4096,13417,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13513, 4622, 1401]",4369,4096,13513,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13577, 7826, 2361]",4369,4096,13577,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13721, 12572, 3753]",4369,4096,13721,1.79,,,,,,,,
"[17, 257, 4369, 4096, 13913, 1661, 489]",4369,4096,13913,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14009, 13602, 3977]",4369,4096,14009,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14057, 1184, 345]",4369,4096,14057,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14153, 9706, 2809]",4369,4096,14153,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14249, 11219, 3225]",4369,4096,14249,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14281, 2207, 633]",4369,4096,14281,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14489, 10559, 2985]",4369,4096,14489,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14537, 1338, 377]",4369,4096,14537,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14633, 2833, 793]",4369,4096,14633,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14713, 722, 201]",4369,4096,14713,1.79,,,,,,,,
"[17, 257, 4369, 4096, 14969, 14768, 4041]",4369,4096,14969,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15017, 9008, 2457]",4369,4096,15017,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15161, 2876, 777]",4369,4096,15161,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15193, 12259, 3305]",4369,4096,15193,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15241, 10214, 2745]",4369,4096,15241,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15289, 10067, 2697]",4369,4096,15289,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15401, 94, 25]",4369,4096,15401,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15497, 9417, 2489]",4369,4096,15497,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15641, 14820, 3881]",4369,4096,15641,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15737, 12575, 3273]",4369,4096,15737,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15817, 12330, 3193]",4369,4096,15817,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15881, 221, 57]",4369,4096,15881,1.79,,,,,,,,
"[17, 257, 4369, 4096, 15913, 14021, 3609]",4369,4096,15913,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16057, 7562, 1929]",4369,4096,16057,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16073, 11525, 2937]",4369,4096,16073,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16217, 9031, 2281]",4369,4096,16217,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16249, 10953, 2761]",4369,4096,16249,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16361, 8536, 2137]",4369,4096,16361,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16553, 3722, 921]",4369,4096,16553,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16633, 1336, 329]",4369,4096,16633,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16649, 13759, 3385]",4369,4096,16649,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16729, 7225, 1769]",4369,4096,16729,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16889, 301, 73]",4369,4096,16889,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16921, 10745, 2601]",4369,4096,16921,1.79,,,,,,,,
"[17, 257, 4369, 4096, 16937, 10689, 2585]",4369,4096,16937,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17033, 3963, 953]",4369,4096,17033,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17209, 11869, 2825]",4369,4096,17209,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17257, 13857, 3289]",4369,4096,17257,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17321, 647, 153]",4369,4096,17321,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17401, 15536, 3657]",4369,4096,17401,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17417, 11128, 2617]",4369,4096,17417,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17449, 8831, 2073]",4369,4096,17449,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17497, 4276, 1001]",4369,4096,17497,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17609, 6023, 1401]",4369,4096,17609,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17657, 14661, 3401]",4369,4096,17657,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17737, 14381, 3321]",4369,4096,17737,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17881, 11634, 2665]",4369,4096,17881,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17929, 9214, 2105]",4369,4096,17929,1.79,,,,,,,,
"[17, 257, 4369, 4096, 17977, 9028, 2057]",4369,4096,17977,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18041, 4268, 969]",4369,4096,18041,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18089, 15373, 3481]",4369,4096,18089,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18121, 3933, 889]",4369,4096,18121,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18169, 12815, 2889]",4369,4096,18169,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18217, 5804, 1305]",4369,4096,18217,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18233, 8017, 1801]",4369,4096,18233,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18313, 16851, 3769]",4369,4096,18313,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18329, 14503, 3241]",4369,4096,18329,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18457, 4799, 1065]",4369,4096,18457,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18521, 18417, 4073]",4369,4096,18521,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18553, 2070, 457]",4369,4096,18553,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18617, 15749, 3465]",4369,4096,18617,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18713, 3696, 809]",4369,4096,18713,1.79,,,,,,,,
"[17, 257, 4369, 4096, 18793, 8043, 1753]",4369,4096,18793,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19001, 4792, 1033]",4369,4096,19001,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19081, 13980, 3001]",4369,4096,19081,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19273, 8399, 1785]",4369,4096,19273,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19289, 15564, 3305]",4369,4096,19289,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19417, 5352, 1129]",4369,4096,19417,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19433, 14997, 3161]",4369,4096,19433,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19577, 16867, 3529]",4369,4096,19577,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19609, 9388, 1961]",4369,4096,19609,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19753, 18639, 3865]",4369,4096,19753,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19801, 13502, 2793]",4369,4096,19801,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19913, 15523, 3193]",4369,4096,19913,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19961, 5346, 1097]",4369,4096,19961,1.79,,,,,,,,
"[17, 257, 4369, 4096, 19993, 17694, 3625]",4369,4096,19993,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20089, 14797, 3017]",4369,4096,20089,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20201, 11802, 2393]",4369,4096,20201,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20233, 19250, 3897]",4369,4096,20233,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20249, 16655, 3369]",4369,4096,20249,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20297, 3771, 761]",4369,4096,20297,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20393, 5860, 1177]",4369,4096,20393,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20441, 524, 105]",4369,4096,20441,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20521, 15516, 3097]",4369,4096,20521,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20681, 12244, 2425]",4369,4096,20681,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20809, 1265, 249]",4369,4096,20809,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20857, 11452, 2249]",4369,4096,20857,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20873, 6161, 1209]",4369,4096,20873,1.79,,,,,,,,
"[17, 257, 4369, 4096, 20921, 5930, 1161]",4369,4096,20921,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21001, 16043, 3129]",4369,4096,21001,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21017, 13346, 2601]",4369,4096,21017,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21193, 9898, 1913]",4369,4096,21193,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21401, 883, 169]",4369,4096,21401,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21433, 3396, 649]",4369,4096,21433,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21481, 5837, 1113]",4369,4096,21481,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21529, 10980, 2089]",4369,4096,21529,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21577, 18843, 3577]",4369,4096,21577,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21673, 21128, 3993]",4369,4096,21673,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21737, 4548, 857]",4369,4096,21737,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21817, 12320, 2313]",4369,4096,21817,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21881, 6544, 1225]",4369,4096,21881,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21929, 20007, 3737]",4369,4096,21929,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21961, 6139, 1145]",4369,4096,21961,1.79,,,,,,,,
"[17, 257, 4369, 4096, 21977, 14299, 2665]",4369,4096,21977,1.79,,,,,,,,
"[17, 257, 4369, 4096, 22073, 11085, 2057]",4369,4096,22073,1.79,,,,,,,,
"[17, 257, 4369, 4096, 22153, 21769, 4025]",4369,4096,22153,1.79,,,,,,,,
"[17, 257, 4369, 4096, 22409, 20620, 3769]",4369,4096,22409,1.79,,,,,,,,
"[17, 257, 4369, 4096, 22441, 17669, 3225]",4369,4096,22441,1.79,,,,,,,,
"[17, 257, 4369, 4096, 22697, 16452, 2969]",4369,4096,22697,1.79,,,,,,,,
"[17, 257, 4369, 4096, 22777, 13218, 2377]",4369,4096,22777,1.79,,,,,,,,
"[17, 257, 4369, 4096, 22921, 18226, 3257]",4369,4096,22921,1.79,,,,,,,,
"[17, 257, 4369, 4096, 22937, 15282, 2729]",4369,4096,22937,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23017, 20640, 3673]",4369,4096,23017,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23081, 3026, 537]",4369,4096,23081,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23209, 13922, 2457]",4369,4096,23209,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23321, 1691, 297]",4369,4096,23321,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23369, 10184, 1785]",4369,4096,23369,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23417, 21639, 3785]",4369,4096,23417,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23497, 21254, 3705]",4369,4096,23497,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23561, 3273, 569]",4369,4096,23561,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23593, 144, 25]",4369,4096,23593,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23609, 3003, 521]",4369,4096,23609,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23689, 14395, 2489]",4369,4096,23689,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23753, 20001, 3449]",4369,4096,23753,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23801, 7862, 1353]",4369,4096,23801,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23833, 22582, 3881]",4369,4096,23833,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23929, 19121, 3273]",4369,4096,23929,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23977, 9887, 1689]",4369,4096,23977,1.79,,,,,,,,
"[17, 257, 4369, 4096, 23993, 12799, 2185]",4369,4096,23993,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24121, 53, 9]",4369,4096,24121,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24137, 5993, 1017]",4369,4096,24137,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24169, 2791, 473]",4369,4096,24169,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24281, 2140, 361]",4369,4096,24281,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24329, 23147, 3897]",4369,4096,24329,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24473, 7128, 1193]",4369,4096,24473,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24697, 15104, 2505]",4369,4096,24697,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24793, 23879, 3945]",4369,4096,24793,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24809, 11393, 1881]",4369,4096,24809,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24841, 20529, 3385]",4369,4096,24841,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24889, 20277, 3337]",4369,4096,24889,1.79,,,,,,,,
"[17, 257, 4369, 4096, 24953, 13701, 2249]",4369,4096,24953,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25033, 13256, 2169]",4369,4096,25033,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25097, 19172, 3129]",4369,4096,25097,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25321, 8463, 1369]",4369,4096,25321,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25561, 19826, 3177]",4369,4096,25561,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25577, 6950, 1113]",4369,4096,25577,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25609, 16362, 2617]",4369,4096,25609,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25657, 16092, 2569]",4369,4096,25657,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25673, 22420, 3577]",4369,4096,25673,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25801, 8825, 1401]",4369,4096,25801,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25849, 21463, 3401]",4369,4096,25849,1.79,,,,,,,,
"[17, 257, 4369, 4096, 25913, 14633, 2313]",4369,4096,25913,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26041, 871, 137]",4369,4096,26041,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26153, 9967, 1561]",4369,4096,26153,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26249, 25794, 4025]",4369,4096,26249,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26297, 25533, 3977]",4369,4096,26297,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26393, 8512, 1321]",4369,4096,26393,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26489, 4611, 713]",4369,4096,26489,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26633, 10358, 1593]",4369,4096,26633,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26681, 10064, 1545]",4369,4096,26681,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26713, 26563, 4073]",4369,4096,26713,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26729, 13110, 2009]",4369,4096,26729,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26777, 19514, 2985]",4369,4096,26777,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26921, 5212, 793]",4369,4096,26921,1.79,,,,,,,,
"[17, 257, 4369, 4096, 26953, 15115, 2297]",4369,4096,26953,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27017, 21483, 3257]",4369,4096,27017,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27241, 9956, 1497]",4369,4096,27241,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27337, 26436, 3961]",4369,4096,27337,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27449, 5207, 777]",4369,4096,27449,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27481, 22174, 3305]",4369,4096,27481,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27529, 18449, 2745]",4369,4096,27529,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27673, 277, 41]",4369,4096,27673,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27689, 169, 25]",4369,4096,27689,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27737, 20647, 3049]",4369,4096,27737,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27817, 13209, 1945]",4369,4096,27817,1.79,,,,,,,,
"[17, 257, 4369, 4096, 27961, 1809, 265]",4369,4096,27961,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28057, 11679, 1705]",4369,4096,28057,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28201, 24848, 3609]",4369,4096,28201,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28297, 13658, 1977]",4369,4096,28297,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28393, 16588, 2393]",4369,4096,28393,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28409, 5833, 841]",4369,4096,28409,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28537, 19236, 2761]",4369,4096,28537,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28649, 14947, 2137]",4369,4096,28649,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28697, 21810, 3113]",4369,4096,28697,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28729, 25201, 3593]",4369,4096,28729,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28793, 17609, 2505]",4369,4096,28793,1.79,,,,,,,,
"[17, 257, 4369, 4096, 28921, 2323, 329]",4369,4096,28921,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29017, 12532, 1769]",4369,4096,29017,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29033, 26942, 3801]",4369,4096,29033,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29129, 15425, 2169]",4369,4096,29129,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29209, 18548, 2601]",4369,4096,29209,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29401, 24642, 3433]",4369,4096,29401,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29641, 11991, 1657]",4369,4096,29641,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29753, 18661, 2569]",4369,4096,29753,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29833, 3212, 441]",4369,4096,29833,1.79,,,,,,,,
"[17, 257, 4369, 4096, 29881, 2867, 393]",4369,4096,29881,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30089, 1359, 185]",4369,4096,30089,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30137, 1008, 137]",4369,4096,30137,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30169, 19629, 2665]",4369,4096,30169,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30313, 18657, 2521]",4369,4096,30313,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30553, 1738, 233]",4369,4096,30553,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30649, 27843, 3721]",4369,4096,30649,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30697, 667, 89]",4369,4096,30697,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30713, 19743, 2633]",4369,4096,30713,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30809, 30636, 4073]",4369,4096,30809,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30841, 3441, 457]",4369,4096,30841,1.79,,,,,,,,
"[17, 257, 4369, 4096, 30937, 14328, 1897]",4369,4096,30937,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31033, 9766, 1289]",4369,4096,31033,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31081, 13302, 1753]",4369,4096,31081,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31177, 921, 121]",4369,4096,31177,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31193, 12497, 1641]",4369,4096,31193,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31321, 27230, 3561]",4369,4096,31321,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31337, 11453, 1497]",4369,4096,31337,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31481, 14334, 1865]",4369,4096,31481,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31513, 2285, 297]",4369,4096,31513,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31657, 17011, 2201]",4369,4096,31657,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31721, 24480, 3161]",4369,4096,31721,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31769, 318, 41]",4369,4096,31769,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31817, 11877, 1529]",4369,4096,31817,1.79,,,,,,,,
"[17, 257, 4369, 4096, 31849, 7659, 985]",4369,4096,31849,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32009, 2446, 313]",4369,4096,32009,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32057, 2074, 265]",4369,4096,32057,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32089, 21881, 2793]",4369,4096,32089,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32233, 20846, 2649]",4369,4096,32233,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32297, 28457, 3609]",4369,4096,32297,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32377, 23848, 3017]",4369,4096,32377,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32441, 15278, 1929]",4369,4096,32441,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32537, 26762, 3369]",4369,4096,32537,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32569, 30605, 3849]",4369,4096,32569,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32633, 21997, 2761]",4369,4096,32633,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32713, 21412, 2681]",4369,4096,32713,1.79,,,,,,,,
"[17, 257, 4369, 4096, 32969, 19519, 2425]",4369,4096,32969,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33049, 23052, 2857]",4369,4096,33049,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33113, 14301, 1769]",4369,4096,33113,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33161, 9788, 1209]",4369,4096,33161,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33289, 25430, 3129]",4369,4096,33289,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33353, 33296, 4089]",4369,4096,33353,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33529, 32031, 3913]",4369,4096,33529,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33577, 19092, 2329]",4369,4096,33577,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33641, 27013, 3289]",4369,4096,33641,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33721, 5343, 649]",4369,4096,33721,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33769, 9176, 1113]",4369,4096,33769,1.79,,,,,,,,
"[17, 257, 4369, 4096, 33961, 33107, 3993]",4369,4096,33961,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34057, 19631, 2361]",4369,4096,34057,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34217, 31218, 3737]",4369,4096,34217,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34297, 26334, 3145]",4369,4096,34297,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34313, 17634, 2105]",4369,4096,34313,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34361, 17256, 2057]",4369,4096,34361,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34457, 29418, 3497]",4369,4096,34457,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34537, 2909, 345]",4369,4096,34537,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34649, 1971, 233]",4369,4096,34649,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34729, 27344, 3225]",4369,4096,34729,1.79,,,,,,,,
"[17, 257, 4369, 4096, 34841, 9059, 1065]",4369,4096,34841,1.79,,,,,,,,
"[17, 257, 4369, 4096, 35081, 11451, 1337]",4369,4096,35081,1.79,,,,,,,,
